employee_id,employee_name,position,department,hire_date,employment_status,store_id,hourly_rate,manager_id
1,Tammy Wilson,Store Manager,Management,2018-04-27,Full-time,1,44.31,
2,James Garcia,Store Manager,Management,2018-06-23,Full-time,2,33.74,
3,Jennifer Marshall,Store Manager,Management,2017-03-13,Full-time,3,43.25,
4,Miranda Lowery,Store Manager,Management,2017-03-07,Full-time,4,36.41,
5,Henry Stevens,Store Manager,Management,2016-03-15,Full-time,5,41.46,
6,Denise Robinson,Store Manager,Management,2020-12-17,Full-time,6,36.22,
7,Michael Luna,Store Manager,Management,2019-06-27,Full-time,7,42.88,
8,Stephanie Hanson,Store Manager,Management,2023-11-05,Full-time,8,28.97,
9,Charles Bishop,Store Manager,Management,2021-11-02,Full-time,9,39.45,
10,Martha May,Store Manager,Management,2018-09-23,Full-time,10,36.57,
11,Robin Spence,Store Manager,Management,2019-01-28,Full-time,11,27.89,
12,Wendy Gamble,Store Manager,Management,2021-11-30,Full-time,12,38.28,
13,Robert Flowers,Store Manager,Management,2016-12-17,Full-time,13,41.47,
14,Todd Malone,Store Manager,Management,2020-10-22,Full-time,14,39.69,
15,Sarah Campos,Store Manager,Management,2019-11-06,Full-time,15,41.5,
16,Joshua Ramirez,Store Manager,Management,2021-07-25,Full-time,16,39.66,
17,Christian Hayden,Store Manager,Management,2021-08-10,Full-time,17,25.28,
18,Timothy Murray,Store Manager,Management,2020-08-18,Full-time,18,42.93,
19,Stacey Shepard,Store Manager,Management,2017-10-18,Full-time,19,43.68,
20,Linda Bailey,Store Manager,Management,2018-04-18,Full-time,20,34.99,
21,Kevin Richmond,Store Manager,Management,2021-12-19,Full-time,21,31.33,
22,Margaret Doyle DDS,Store Manager,Management,2021-01-22,Full-time,22,40.84,
23,Nathan Johnson,Store Manager,Management,2016-11-05,Full-time,23,38.48,
24,Priscilla Jordan,Store Manager,Management,2020-02-16,Full-time,24,30.26,
25,Christine Hall,Store Manager,Management,2019-10-03,Full-time,25,39.45,
26,Jeffrey Lambert,Store Manager,Management,2024-04-11,Full-time,26,44.76,
27,Jesse Jones,Store Manager,Management,2023-11-25,Full-time,27,43.87,
28,Nicole Moore,Store Manager,Management,2015-06-03,Full-time,28,42.15,
29,Bryan Adams,Store Manager,Management,2018-12-26,Full-time,29,37.69,
30,Rachael Wilcox,Store Manager,Management,2018-11-10,Full-time,30,37.78,
31,Amanda Martin,Store Manager,Management,2021-05-28,Full-time,31,36.57,
32,Zachary Reid,Store Manager,Management,2020-04-24,Full-time,32,25.73,
